"","X.","Nicotinamide..Azithromycin..Nitazoxanide","Nicotinamide..Placebo","Placebo..Azithromycin..Nitazoxanide","Placebo..Placebo","Overall"
"186","  Mean (SD)","-0.614 (0.961)","-0.574 (0.818)","-0.668 (1.14)","-0.410 (1.06)","-0.560 (0.995)"
"187","  Median [Min, Max]","-0.470 [-2.94, 1.36]","-0.565 [-2.61, 1.12]","-0.810 [-4.90, 1.47]","-0.395 [-3.37, 1.91]","-0.470 [-4.90, 1.91]"
"188","  Missing","2 (3.8%)","0 (0%)","1 (2.2%)","0 (0%)","3 (1.5%)"
"189","waz_6m","","","","",""
"190","  Mean (SD)","-0.569 (0.934)","-0.441 (0.987)","-0.681 (1.11)","-0.400 (0.957)","-0.518 (0.994)"
"191","  Median [Min, Max]","-0.620 [-2.35, 1.81]","-0.540 [-2.85, 1.76]","-0.680 [-3.58, 1.80]","-0.465 [-2.49, 1.53]","-0.575 [-3.58, 1.81]"
"192","waz_9m","","","","",""
"193","  Mean (SD)","-0.674 (0.889)","-0.689 (0.746)","-0.857 (1.01)","-0.539 (1.03)","-0.682 (0.927)"
"194","  Median [Min, Max]","-0.715 [-3.03, 1.08]","-0.695 [-2.50, 0.900]","-0.970 [-2.54, 1.93]","-0.665 [-2.53, 1.34]","-0.740 [-3.03, 1.93]"
"195","  Missing","1 (1.9%)","0 (0%)","0 (0%)","0 (0%)","1 (0.5%)"
"196","waz_12m","","","","",""
"197","  Mean (SD)","-0.554 (0.791)","-0.842 (0.655)","-1.02 (0.870)","-0.670 (0.963)","-0.764 (0.838)"
"198","  Median [Min, Max]","-0.630 [-2.52, 1.51]","-0.910 [-2.28, 0.580]","-1.12 [-2.77, 1.55]","-0.500 [-2.89, 1.29]","-0.790 [-2.89, 1.55]"
"199","  Missing","11 (20.8%)","6 (12.5%)","7 (15.6%)","11 (20.4%)","35 (17.5%)"
"200","waz_15m","","","","",""
"201","  Mean (SD)","-0.860 (1.07)","-0.925 (1.03)","-1.01 (0.984)","-0.727 (1.07)","-0.872 (1.04)"
"202","  Median [Min, Max]","-0.885 [-3.24, 1.57]","-1.03 [-2.92, 1.37]","-1.22 [-2.87, 2.69]","-0.450 [-3.66, 1.09]","-1.00 [-3.66, 2.69]"
"203","  Missing","7 (13.2%)","11 (22.9%)","7 (15.6%)","9 (16.7%)","34 (17.0%)"
"204","waz_18m","","","","",""
"205","  Mean (SD)","-0.866 (1.00)","-0.937 (0.856)","-1.13 (0.822)","-0.872 (0.977)","-0.943 (0.922)"
"206","  Median [Min, Max]","-0.770 [-2.92, 1.65]","-1.03 [-2.50, 1.19]","-1.19 [-2.80, 1.77]","-0.740 [-2.86, 1.37]","-0.975 [-2.92, 1.77]"
"207","haz_3m","","","","",""
"208","  Mean (SD)","-0.949 (0.946)","-0.808 (0.807)","-1.07 (1.10)","-0.885 (1.18)","-0.925 (1.02)"
"209","  Median [Min, Max]","-0.810 [-3.09, 0.830]","-0.810 [-3.09, 1.10]","-1.13 [-4.56, 2.05]","-0.810 [-3.58, 3.28]","-0.810 [-4.56, 3.28]"
"210","  Missing","1 (1.9%)","0 (0%)","0 (0%)","1 (1.9%)","2 (1.0%)"
"211","haz_6m","","","","",""
"212","  Mean (SD)","-1.15 (0.897)","-1.04 (1.11)","-1.27 (1.14)","-1.03 (1.19)","-1.12 (1.09)"
"213","  Median [Min, Max]","-1.21 [-2.61, 0.570]","-1.19 [-3.50, 1.10]","-1.63 [-4.01, 1.03]","-1.19 [-3.08, 1.46]","-1.21 [-4.01, 1.46]"
"214","  Missing","1 (1.9%)","0 (0%)","0 (0%)","0 (0%)","1 (0.5%)"
"215","haz_9m","","","","",""
"216","  Mean (SD)","-1.38 (0.890)","-1.37 (1.03)","-1.57 (0.890)","-1.32 (1.10)","-1.40 (0.983)"
"217","  Median [Min, Max]","-1.30 [-3.36, 0.450]","-1.30 [-4.23, 0.370]","-1.53 [-3.54, 0.910]","-1.31 [-3.98, 1.61]","-1.31 [-4.23, 1.61]"
"218","  Missing","1 (1.9%)","0 (0%)","0 (0%)","0 (0%)","1 (0.5%)"
"219","haz_12m","","","","",""
"220","  Mean (SD)","-1.55 (0.888)","-1.81 (0.718)","-1.94 (0.753)","-1.68 (1.18)","-1.74 (0.916)"
"221","  Median [Min, Max]","-1.54 [-2.82, 0.0100]","-1.85 [-3.66, -0.720]","-1.98 [-3.24, 0.0100]","-1.75 [-4.65, 1.18]","-1.85 [-4.65, 1.18]"
"222","  Missing","10 (18.9%)","6 (12.5%)","7 (15.6%)","8 (14.8%)","31 (15.5%)"
"223","haz_15m","","","","",""
"224","  Mean (SD)","-1.94 (0.888)","-1.86 (1.05)","-2.06 (0.895)","-1.74 (1.10)","-1.89 (0.983)"
"225","  Median [Min, Max]","-2.00 [-3.76, 0.190]","-2.03 [-3.79, 1.65]","-2.03 [-3.76, -0.450]","-2.00 [-3.61, 0.740]","-2.00 [-3.79, 1.65]"
"226","  Missing","8 (15.1%)","11 (22.9%)","8 (17.8%)","11 (20.4%)","38 (19.0%)"
"227","haz_18m","","","","",""
"228","  Mean (SD)","-1.95 (1.04)","-1.95 (0.950)","-2.17 (0.719)","-1.95 (1.11)","-2.00 (0.971)"
"229","  Median [Min, Max]","-1.94 [-4.54, 0.520]","-1.96 [-3.80, 0.460]","-2.27 [-3.80, -0.230]","-1.95 [-4.37, 0.110]","-1.96 [-4.54, 0.520]"
"230","whz_3m","","","","",""
"231","  Mean (SD)","0.289 (1.35)","0.126 (1.08)","0.320 (1.41)","0.441 (1.47)","0.297 (1.33)"
"232","  Median [Min, Max]","0.495 [-3.37, 2.62]","0.205 [-2.09, 2.57]","0.205 [-3.92, 4.09]","0.670 [-4.55, 3.86]","0.410 [-4.55, 4.09]"
"233","  Missing","3 (5.7%)","0 (0%)","1 (2.2%)","1 (1.9%)","5 (2.5%)"
"234","whz_6m","","","","",""
"235","  Mean (SD)","0.270 (1.05)","0.355 (1.37)","0.229 (1.41)","0.422 (1.18)","0.322 (1.24)"
"236","  Median [Min, Max]","0.390 [-2.20, 3.19]","0.270 [-3.95, 4.78]","0.0400 [-3.23, 3.38]","0.395 [-2.16, 3.69]","0.270 [-3.95, 4.78]"
"237","  Missing","1 (1.9%)","0 (0%)","0 (0%)","0 (0%)","1 (0.5%)"
"238","whz_9m","","","","",""
"239","  Mean (SD)","0.148 (0.951)","0.149 (0.911)","0.0573 (1.08)","0.308 (1.15)","0.171 (1.03)"
"240","  Median [Min, Max]","0.220 [-2.85, 2.28]","0.180 [-1.68, 3.25]","-0.120 [-2.74, 2.34]","0.360 [-2.57, 2.69]","0.185 [-2.85, 3.25]"
"241","  Missing","2 (3.8%)","0 (0%)","0 (0%)","0 (0%)","2 (1.0%)"
"242","whz_12m","","","","",""
"243","  Mean (SD)","0.264 (0.849)","0.0848 (0.733)","-0.0608 (1.04)","0.249 (0.873)","0.139 (0.878)"
"244","  Median [Min, Max]","0.230 [-1.78, 2.22]","0.110 [-1.58, 1.63]","-0.185 [-2.40, 2.34]","0.190 [-1.31, 2.65]","0.0800 [-2.40, 2.65]"
"245","  Missing","12 (22.6%)","6 (12.5%)","7 (15.6%)","11 (20.4%)","36 (18.0%)"
"246","whz_15m","","","","",""
"247","  Mean (SD)","0.0771 (1.16)","-0.0681 (1.14)","-0.0859 (1.22)","0.128 (0.994)","0.0203 (1.12)"
"248","  Median [Min, Max]","0.0200 [-2.62, 2.68]","-0.130 [-2.44, 2.77]","-0.130 [-3.25, 3.86]","0.240 [-3.08, 1.75]","0 [-3.25, 3.86]"
"249","  Missing","8 (15.1%)","11 (22.9%)","8 (17.8%)","11 (20.4%)","38 (19.0%)"
"250","whz_18m","","","","",""
"251","  Mean (SD)","0.0796 (1.02)","-0.0185 (1.08)","-0.145 (1.01)","0.0802 (0.868)","0.00565 (0.992)"
